Line  0: The following are the graphical (non-control) characters defined by
Line  1: ISO 8859-1 (1987).  Descriptions in words aren't all that helpful,
Line  2: but they're the best we can do in text.  A graphics file illustrating
Line  3: the character set should be available from the same archive as this
Line  4: file.
Line  5: 
Line  6: Hex Description                 Hex Description
Line  7: 
Line  8: 20  SPACE
Line  9: 21  EXCLAMATION MARK            A1  INVERTED EXCLAMATION MARK
Line 10: 22  QUOTATION MARK              A2  CENT SIGN
Line 11: 23  NUMBER SIGN                 A3  POUND SIGN
Line 12: 24  DOLLAR SIGN                 A4  CURRENCY SIGN
Line 13: 25  PERCENT SIGN                A5  YEN SIGN
Line 14: 26  AMPERSAND                   A6  BROKEN BAR
Line 15: 27  APOSTROPHE                  A7  SECTION SIGN
Line 16: 28  LEFT PARENTHESIS            A8  DIAERESIS
Line 17: 29  RIGHT PARENTHESIS           A9  COPYRIGHT SIGN
Line 18: 2A  ASTERISK                    AA  FEMININE ORDINAL INDICATOR
Line 19: 2B  PLUS SIGN                   AB  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
Line 20: 2C  COMMA                       AC  NOT SIGN
Line 21: 2D  HYPHEN-MINUS                AD  SOFT HYPHEN
Line 22: 2E  FULL STOP                   AE  REGISTERED SIGN
Line 23: 2F  SOLIDUS                     AF  OVERLINE
Line 24: 30  DIGIT ZERO                  B0  DEGREE SIGN
Line 25: 31  DIGIT ONE                   B1  PLUS-MINUS SIGN
Line 26: 32  DIGIT TWO                   B2  SUPERSCRIPT TWO
Line 27: 33  DIGIT THREE                 B3  SUPERSCRIPT THREE
Line 28: 34  DIGIT FOUR                  B4  ACUTE ACCENT
Line 29: 35  DIGIT FIVE                  B5  MICRO SIGN
Line 30: 36  DIGIT SIX                   B6  PILCROW SIGN
Line 31: 37  DIGIT SEVEN                 B7  MIDDLE DOT
Line 32: 38  DIGIT EIGHT                 B8  CEDILLA
Line 33: 39  DIGIT NINE                  B9  SUPERSCRIPT ONE
Line 34: 3A  COLON                       BA  MASCULINE ORDINAL INDICATOR
Line 35: 3B  SEMICOLON                   BB  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
Line 36: 3C  LESS-THAN SIGN              BC  VULGAR FRACTION ONE QUARTER
Line 37: 3D  EQUALS SIGN                 BD  VULGAR FRACTION ONE HALF
Line 38: 3E  GREATER-THAN SIGN           BE  VULGAR FRACTION THREE QUARTERS
Line 39: 3F  QUESTION MARK               BF  INVERTED QUESTION MARK
Line 40: 40  COMMERCIAL AT               C0  CAPITAL LETTER A WITH GRAVE
Line 41: 41  CAPITAL LETTER A            C1  CAPITAL LETTER A WITH ACUTE
Line 42: 42  CAPITAL LETTER B            C2  CAPITAL LETTER A WITH CIRCUMFLEX
Line 43: 43  CAPITAL LETTER C            C3  CAPITAL LETTER A WITH TILDE
Line 44: 44  CAPITAL LETTER D            C4  CAPITAL LETTER A WITH DIAERESIS
Line 45: 45  CAPITAL LETTER E            C5  CAPITAL LETTER A WITH RING ABOVE
Line 46: 46  CAPITAL LETTER F            C6  CAPITAL LETTER AE
Line 47: 47  CAPITAL LETTER G            C7  CAPITAL LETTER C WITH CEDILLA
Line 48: 48  CAPITAL LETTER H            C8  CAPITAL LETTER E WITH GRAVE
Line 49: 49  CAPITAL LETTER I            C9  CAPITAL LETTER E WITH ACUTE
Line 50: 4A  CAPITAL LETTER J            CA  CAPITAL LETTER E WITH CIRCUMFLEX
Line 51: 4B  CAPITAL LETTER K            CB  CAPITAL LETTER E WITH DIAERESIS
Line 52: 4C  CAPITAL LETTER L            CC  CAPITAL LETTER I WITH GRAVE
Line 53: 4D  CAPITAL LETTER M            CD  CAPITAL LETTER I WITH ACUTE
Line 54: 4E  CAPITAL LETTER N            CE  CAPITAL LETTER I WITH CIRCUMFLEX
Line 55: 4F  CAPITAL LETTER O            CF  CAPITAL LETTER I WITH DIAERESIS
Line 56: 50  CAPITAL LETTER P            D0  CAPITAL LETTER ETH (Icelandic)
Line 57: 51  CAPITAL LETTER Q            D1  CAPITAL LETTER N WITH TILDE
Line 58: 52  CAPITAL LETTER R            D2  CAPITAL LETTER O WITH GRAVE
Line 59: 53  CAPITAL LETTER S            D3  CAPITAL LETTER O WITH ACUTE
Line 60: 54  CAPITAL LETTER T            D4  CAPITAL LETTER O WITH CIRCUMFLEX
Line 61: 55  CAPITAL LETTER U            D5  CAPITAL LETTER O WITH TILDE
Line 62: 56  CAPITAL LETTER V            D6  CAPITAL LETTER O WITH DIAERESIS
Line 63: 57  CAPITAL LETTER W            D7  MULTIPLICATION SIGN
Line 64: 58  CAPITAL LETTER X            D8  CAPITAL LETTER O WITH STROKE
Line 65: 59  CAPITAL LETTER Y            D9  CAPITAL LETTER U WITH GRAVE
Line 66: 5A  CAPITAL LETTER Z            DA  CAPITAL LETTER U WITH ACUTE
Line 67: 5B  LEFT SQUARE BRACKET         DB  CAPITAL LETTER U WITH CIRCUMFLEX
Line 68: 5C  REVERSE SOLIDUS             DC  CAPITAL LETTER U WITH DIAERESIS
Line 69: 5D  RIGHT SQUARE BRACKET        DD  CAPITAL LETTER Y WITH ACUTE
Line 70: 5E  CIRCUMFLEX ACCENT           DE  CAPITAL LETTER THORN (Icelandic)
Line 71: 5F  LOW LINE                    DF  SMALL LETTER SHARP S (German)
Line 72: 60  GRAVE ACCENT                E0  SMALL LETTER A WITH GRAVE
Line 73: 61  SMALL LETTER A              E1  SMALL LETTER A WITH ACUTE
Line 74: 62  SMALL LETTER B              E2  SMALL LETTER A WITH CIRCUMFLEX
Line 75: 63  SMALL LETTER C              E3  SMALL LETTER A WITH TILDE
Line 76: 64  SMALL LETTER D              E4  SMALL LETTER A WITH DIAERESIS
Line 77: 65  SMALL LETTER E              E5  SMALL LETTER A WITH RING ABOVE
Line 78: 66  SMALL LETTER F              E6  SMALL LETTER AE
Line 79: 67  SMALL LETTER G              E7  SMALL LETTER C WITH CEDILLA
Line 80: 68  SMALL LETTER H              E8  SMALL LETTER E WITH GRAVE
Line 81: 69  SMALL LETTER I              E9  SMALL LETTER E WITH ACUTE
Line 82: 6A  SMALL LETTER J              EA  SMALL LETTER E WITH CIRCUMFLEX
Line 83: 6B  SMALL LETTER K              EB  SMALL LETTER E WITH DIAERESIS
Line 84: 6C  SMALL LETTER L              EC  SMALL LETTER I WITH GRAVE
Line 85: 6D  SMALL LETTER M              ED  SMALL LETTER I WITH ACUTE
Line 86: 6E  SMALL LETTER N              EE  SMALL LETTER I WITH CIRCUMFLEX
Line 87: 6F  SMALL LETTER O              EF  SMALL LETTER I WITH DIAERESIS
Line 88: 70  SMALL LETTER P              F0  SMALL LETTER ETH (Icelandic)
Line 89: 71  SMALL LETTER Q              F1  SMALL LETTER N WITH TILDE
Line 90: 72  SMALL LETTER R              F2  SMALL LETTER O WITH GRAVE
Line 91: 73  SMALL LETTER S              F3  SMALL LETTER O WITH ACUTE
Line 92: 74  SMALL LETTER T              F4  SMALL LETTER O WITH CIRCUMFLEX
Line 93: 75  SMALL LETTER U              F5  SMALL LETTER O WITH TILDE
Line 94: 76  SMALL LETTER V              F6  SMALL LETTER O WITH DIAERESIS
Line 95: 77  SMALL LETTER W              F7  DIVISION SIGN
Line 96: 78  SMALL LETTER X              F8  SMALL LETTER O WITH STROKE
Line 97: 79  SMALL LETTER Y              F9  SMALL LETTER U WITH GRAVE
Line 98: 7A  SMALL LETTER Z              FA  SMALL LETTER U WITH ACUTE
Line 99: 7B  LEFT CURLY BRACKET          FB  SMALL LETTER U WITH CIRCUMFLEX
Line100: 7C  VERTICAL LINE               FC  SMALL LETTER U WITH DIAERESIS
Line101: 7D  RIGHT CURLY BRACKET         FD  SMALL LETTER Y WITH ACUTE
Line102: 7E  TILDE                       FE  SMALL LETTER THORN (Icelandic)
Line103:                                 FF  SMALL LETTER Y WITH DIAERESIS
